"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6489","2 - User sees account balance on dashboard after login","after-login","2026-01-22","failed","2026-01-22","Dashboard","dashboard/dashboard.spec.ts","",""
"","16885","User sees account balance on dashboard after login","after-login","2026-01-22","failed","2026-01-22","Dashboard","dashboard/dashboard.spec.ts","",""
"","16661","authenticate admin user","prepare-auth","2026-01-22","passed","2026-01-22","","setup/auth.setup.ts","",""
